Duration,Duration(Sec),Start date,Start Station,Start Terminal,End date,End Station,End Terminal,Bike#,Type
0h 7m 55sec.,475,1/1/2012 0:04,7th & R St NW / Shaw Library,31245,1/1/2012 0:11,7th & T St NW,99999,W01412,Registered
0h 19m 22sec.,1162,1/1/2012 0:10,Georgia & New Hampshire Ave NW,31400,1/1/2012 0:29,16th & Harvard St NW,31103,W00524,Casual
0h 19m 5sec.,1145,1/1/2012 0:10,Georgia & New Hampshire Ave NW,31400,1/1/2012 0:29,16th & Harvard St NW,31103,W00235,Registered
0h 8m 5sec.,485,1/1/2012 0:15,14th & V St NW,31101,1/1/2012 0:23,Park Rd & Holmead Pl NW,31602,W00864,Registered
0h 7m 51sec.,471,1/1/2012 0:15,11th & Kenyon St NW,31102,1/1/2012 0:23,7th & T St NW,31109,W00995,Registered
0h 5m 58sec.,358,1/1/2012 0:17,Court House Metro / Wilson Blvd & N Uhle St,31017,1/1/2012 0:23,Lynn & 19th St North,31014,W00466,Registered
0h 29m 14sec.,1754,1/1/2012 0:18,37th & O St NW / Georgetown University,31236,1/1/2012 0:47,9th & Upshur St NW,31404,W00525,Registered
0h 4m 19sec.,259,1/1/2012 0:22,14th & V St NW,31101,1/1/2012 0:27,15th & P St NW,31201,W00340,Registered
0h 8m 36sec.,516,1/1/2012 0:24,Lynn & 19th St North,31014,1/1/2012 0:33,25th St & Pennsylvania Ave NW,31237,W00466,Registered
0h 15m 13sec.,913,1/1/2012 0:25,14th & V St NW,31101,1/1/2012 0:40,L'Enfant Plaza / 7th & C St SW,31218,W00963,Registered
0h 18m 17sec.,1097,1/1/2012 0:29,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,1/1/2012 0:48,Massachusetts Ave & Dupont Circle NW,31200,W01398,Registered
0h 8m 10sec.,490,1/1/2012 0:30,New York Ave & 15th St NW,31222,1/1/2012 0:38,21st & I St NW,31205,W00042,Registered
0h 17m 25sec.,1045,1/1/2012 0:32,Metro Center / 12th & G St NW,31230,1/1/2012 0:50,Massachusetts Ave & Dupont Circle NW,31200,W00570,Registered
0h 17m 15sec.,1035,1/1/2012 0:32,Lamont & Mt Pleasant NW,31107,1/1/2012 0:50,14th & Rhode Island Ave NW,31203,W01463,Registered
0h 17m 40sec.,1060,1/1/2012 0:33,Lamont & Mt Pleasant NW,31107,1/1/2012 0:50,14th & Rhode Island Ave NW,31203,W00535,Registered
0h 17m 19sec.,1039,1/1/2012 0:33,Metro Center / 12th & G St NW,31230,1/1/2012 0:50,Massachusetts Ave & Dupont Circle NW,31200,W00494,Registered
0h 7m 23sec.,443,1/1/2012 0:33,25th St & Pennsylvania Ave NW,31237,1/1/2012 0:41,New York Ave & 15th St NW,31222,W00466,Registered
0h 5m 16sec.,316,1/1/2012 0:33,7th & T St NW,31109,1/1/2012 0:39,Convention Center / 7th & M St NW,31223,W00663,Registered
0h 8m 26sec.,506,1/1/2012 0:34,14th & Rhode Island Ave NW,31203,1/1/2012 0:42,14th & V St NW,31101,W01052,Registered
0h 15m 56sec.,956,1/1/2012 0:36,17th & Corcoran St NW,31214,1/1/2012 0:52,17th & Corcoran St NW,31214,W00174,Registered
0h 4m 4sec.,244,1/1/2012 0:37,17th & Corcoran St NW,31214,1/1/2012 0:41,Massachusetts Ave & Dupont Circle NW,31200,W01298,Registered
0h 5m 19sec.,319,1/1/2012 0:39,McPherson Square - 14th & H St NW,31216,1/1/2012 0:44,8th & H St NW,31228,W01333,Registered
0h 2m 37sec.,157,1/1/2012 0:39,Potomac & Pennsylvania Ave SE,31606,1/1/2012 0:42,Potomac & Pennsylvania Ave SE,31606,W00697,Registered
0h 8m 31sec.,511,1/1/2012 0:41,4th & E St SW,31244,1/1/2012 0:49,5th & F St NW,31620,W00260,Registered
0h 3m 19sec.,199,1/1/2012 0:45,18th & M St NW,31221,1/1/2012 0:48,19th St & Pennsylvania Ave NW,31100,W00658,Registered
0h 8m 19sec.,499,1/1/2012 0:45,15th & P St NW,31201,1/1/2012 0:54,16th & U St NW,31229,W00996,Registered
0h 7m 40sec.,460,1/1/2012 0:46,15th & P St NW,31201,1/1/2012 0:53,16th & U St NW,31229,W00790,Registered
0h 15m 31sec.,931,1/1/2012 0:48,Massachusetts Ave & Dupont Circle NW,31200,1/1/2012 1:04,4th St & Massachusetts Ave NW,31604,W01213,Registered
0h 6m 38sec.,398,1/1/2012 0:49,Park Rd & Holmead Pl NW,31602,1/1/2012 0:55,Columbia Rd & Belmont St NW,31113,W00981,Registered